Month,Impr.
July 2015,0
August 2015,"116,655"
September 2015,"135,936"
October 2015,"100,255"
November 2015,"107,943"
December 2015,"24,372"
January 2016,"109,568"
February 2016,"121,541"
March 2016,"120,140"
April 2016,"229,304"
May 2016,"277,736"
June 2016,"298,499"
July 2016,"223,991"
August 2016,"188,481"
September 2016,"142,061"
October 2016,"98,560"
November 2016,"91,387"
December 2016,"78,915"
January 2017,"82,966"
February 2017,"48,900"
March 2017,"64,772"
April 2017,"102,626"
May 2017,"146,611"
June 2017,"126,503"
July 2017,"132,219"
August 2017,"124,042"
September 2017,"90,897"
October 2017,"1,293,551"
November 2017,"482,326"
December 2017,"164,621"
January 2018,"110,127"
February 2018,"33,485"
March 2018,"410,771"
April 2018,"1,048,281"
May 2018,"934,711"
June 2018,"364,920"
July 2018,"49,221"
August 2018,"87,862"
September 2018,"1,930,099"
October 2018,"2,085,448"
November 2018,"167,980"
December 2018,"684,029"
January 2019,"1,248,075"
February 2019,"866,014"
March 2019,"583,427"
April 2019,"357,448"
May 2019,"7,848"
June 2019,0
July 2019,"10,799"
August 2019,"320,559"
September 2019,"246,180"
October 2019,"282,942"
November 2019,"302,033"
December 2019,"518,744"
January 2020,"449,680"
February 2020,"540,446"
March 2020,"86,508"
April 2020,0
May 2020,0
June 2020,0
July 2020,0
August 2020,"35,352"
September 2020,"140,841"
October 2020,"127,979"
November 2020,"87,567"
December 2020,"94,521"
January 2021,"129,379"
February 2021,"28,858"
March 2021,229
April 2021,"76,239"
May 2021,"105,315"
June 2021,"95,727"
July 2021,"120,213"
August 2021,"126,476"
September 2021,"115,437"
October 2021,"110,791"
November 2021,"167,501"
December 2021,"393,510"
January 2022,"280,781"
February 2022,"72,292"
March 2022,"73,524"
April 2022,"60,662"
May 2022,"79,955"
June 2022,"117,974"
July 2022,"362,057"
August 2022,"349,414"
September 2022,"261,332"
October 2022,"178,476"
November 2022,"164,782"
December 2022,"165,238"
January 2023,"228,029"
February 2023,"531,281"
March 2023,"524,798"
April 2023,0
May 2023,"308,785"
June 2023,"1,973,793"
July 2023,"2,784,651"
August 2023,"2,134,893"
September 2023,"862,770"
October 2023,"743,305"
November 2023,"294,924"
December 2023,721
January 2024,420
February 2024,1
March 2024,35
April 2024,"140,419"
May 2024,"117,343"
June 2024,"127,603"
July 2024,"137,361"
August 2024,"293,492"
September 2024,"525,013"
October 2024,"36,138"
November 2024,0
December 2024,0
January 2025,0
February 2025,0
March 2025,2
April 2025,0
May 2025,0
June 2025,0
July 2025,0
August 2025,0
September 2025,0
October 2025,0
November 2025,0
December 2025,0
January 2026,0
February 2026,0
March 2026,0
April 2026,0
May 2026,0
June 2026,0
July 2026,0
August 2026,0
